key,集合,zh_CN.名称,zh_CN.描述,en-us.名称,en-us.描述,zh_CN.解锁条件,en-us.解锁条件
v_clearance_sale,Voucher,清仓特卖,"所有卡牌、补充包和优惠券
在店内均可享受{C:attention}#1#%{}折扣",Clearance Sale,"All cards and packs in
shop are {C:attention}#1#%{} off",,
v_crystal_ball,Voucher,水晶球,消耗牌槽位{C:attention}+1{},Crystal Ball,{C:attention}+1{} consumable slot,,
v_directors_cut,Voucher,导演剪辑版,"可以重掷Boss盲注
每个底注限重掷{C:attention}1{}次
每次花费{C:money}$#1#{}",Director's Cut,"Reroll Boss Blind
{C:attention}1{} time per Ante,
{C:money}$#1#{} per roll",,
v_glow_up,Voucher,焕彩,"{C:dark_edition}闪箔卡{}、{C:dark_edition}镭射卡{}和
{C:dark_edition}多彩卡{}
出现频率{C:attention}X#1#{}",Glow Up,"{C:dark_edition}Foil{}, {C:dark_edition}Holographic{}, and
{C:dark_edition}Polychrome{} cards
appear {C:attention}#1#X{} more often","同时拥有至少{C:attention}#1#张
{C:dark_edition}闪箔卡{}、{C:dark_edition}镭射卡{}、或
{C:dark_edition}多彩卡{}版本的{C:attention}小丑牌{}","Have at least {C:attention}#1#
{C:attention}Joker{} cards with
{C:dark_edition}Foil{}, {C:dark_edition}Holographic{}, or
{C:dark_edition}Polychrome{} edition"
v_grabber,Voucher,抓手,"每回合
出牌次数
永久{C:blue}+#1#{}",Grabber,"Permanently
gain {C:blue}+#1#{} hand
per round",,
v_hieroglyph,Voucher,象形文字,"底注{C:attention}-#1#{}
每回合
出牌次数{C:blue}-#1#{}",Hieroglyph,"{C:attention}-#1#{} Ante,
{C:blue}-#1#{} hand
each round",,
v_hone,Voucher,打磨,"{C:dark_edition}闪箔卡{}、{C:dark_edition}镭射卡{}和
{C:dark_edition}多彩卡{}
出现频率{C:attention}X#1#{}",Hone,"{C:dark_edition}Foil{}, {C:dark_edition}Holographic{}, and
{C:dark_edition}Polychrome{} cards
appear {C:attention}#1#X{} more often",,
v_illusion,Voucher,幻象,"商店内的{C:attention}游戏牌{}
可以是{C:enhanced}增强卡牌{}、
{C:dark_edition}不同版本{}、和/或{C:attention}蜡封{}",Illusion,"{C:attention}Playing cards{} in shop
may have an {C:enhanced}Enhancement{},
{C:dark_edition}Edition{}, and/or a {C:attention}Seal{}","在商店
购买总计
{C:attention}#1#{}张游戏牌
{C:inactive}(#2#)","Buy a total of
{C:attention}#1#{} playing cards
from the shop
{C:inactive}(#2#)"
v_liquidation,Voucher,清算,"所有卡牌、补充包和优惠券
在店内均可享受{C:attention}#1#%{}折扣",Liquidation,"All cards and packs in
shop are {C:attention}#1#%{} off","在一场赛局中
至少兑换
{C:attention}#1#{C:voucher}张优惠券{}","Redeem at least
{C:attention}#1#{C:voucher} Voucher{} cards
in one run"
v_magic_trick,Voucher,魔术,"{C:attention}商店{}里面
有{C:attention}游戏牌{}
可供选购",Magic Trick,"{C:attention}Playing cards{} can
be purchased
from the {C:attention}shop",,
v_money_tree,Voucher,摇钱树,"每回合
可获得利息的上限
提高到{C:money}$#1#{}",Money Tree,"Raise the cap on
interest earned in
each round to {C:money}$#1#{}","连续{C:attention}#1#{}回合
在计算收益时
获得的利息到达上限
{C:inactive}(#2#)","Max out the interest
per round earnings for
{C:attention}#1#{} consecutive rounds
{C:inactive}(#2#)"
v_nacho_tong,Voucher,玉米片夹,"每回合
出牌次数
永久{C:blue}+#1#{}",Nacho Tong,"Permanently
gain {C:blue}+#1#{} hand
per round","打出总共
{C:attention}#1#{}张卡牌
{C:inactive}(#2#)","Play a total
of {C:attention}#1#{} cards
{C:inactive}(#2#)"
v_observatory,Voucher,天文台,"在您{C:attention}消耗牌栏位{}中
的{C:planet}星球牌{}
会使这一特定{C:attention}牌型
给予{X:red,C:white}X#1#{}倍率",Observatory,"{C:planet}Planet{} cards in your
{C:attention}consumable{} area give
{X:red,C:white} X#1# {} Mult for their
specified {C:attention}poker hand","从任何{C:planet}天体包中
总共使用{C:attention}#1#张
{C:planet}星球牌{}
{C:inactive}(#2#)","Use a total of {C:attention}#1#
{C:planet}Planet{} cards from any
{C:planet}Celestial Pack
{C:inactive}(#2#)"
v_omen_globe,Voucher,预兆球,"{C:spectral}幻灵牌{}可能
会在任何
{C:attention}秘术包中出现",Omen Globe,"{C:spectral}Spectral{} cards may
appear in any of
the {C:attention}Arcana Packs","从任何{C:tarot}秘术包中
总共使用{C:attention}#1#张
{C:tarot}塔罗牌{}
{C:inactive}(#2#)","Use a total of {C:attention}#1#
{C:tarot}Tarot{} cards from any
{C:tarot}Arcana Pack
{C:inactive}(#2#)"
v_overstock_norm,Voucher,库存过剩,"商店內
卡牌槽位{C:attention}+1{}",Overstock,"{C:attention}+1{} card slot
available in shop",,
v_overstock_plus,Voucher,库存过剩加强版,"商店内
卡牌槽位{C:attention}+1{}",Overstock Plus,"{C:attention}+1{} card slot
available in shop","在商店内总共花费
{C:money}$#1#{}
{C:inactive}（$#2#）","Spend a total of
{C:money}$#1#{} at the shop
{C:inactive}($#2#)"
v_paint_brush,Voucher,油漆刷,手牌上限{C:attention}+#1#{},Paint Brush,{C:attention}+#1#{} hand size,,
v_palette,Voucher,调色板,手牌上限{C:attention}+#1#{},Palette,{C:attention}+#1#{} hand size,"手牌上限减少
至{C:attention}#1#{}张","Reduce hand size
down to {C:attention}#1#{} cards"
v_petroglyph,Voucher,岩画,"底注{C:attention}-#1#{}
每回合
弃牌次数{C:red}-#1#{}",Petroglyph,"{C:attention}-#1#{} Ante,
{C:red}-#1#{} discard
each round","达到底注
等级{E:1,C:attention}#1#","Reach Ante
level {E:1,C:attention}#1#"
v_planet_merchant,Voucher,星球牌商人,"商店内
{C:planet}星球牌{}
出现频率{C:attention}X#1#{}",Planet Merchant,"{C:planet}Planet{} cards appear
{C:attention}#1#X{} more frequently
in the shop",,
v_planet_tycoon,Voucher,星球大亨,"商店内
{C:tarot}星球牌{}
出现频率{C:attention}X#1#{}",Planet Tycoon,"{C:planet}Planet{} cards appear
{C:attention}#1#X{} more frequently
in the shop","在商店
购买总计
{C:attention}#1#{}张{C:planet}星球牌{}
{C:inactive}(#2#)","Buy a total of
{C:attention}#1#{C:planet} Planet{} cards
from the shop
{C:inactive}(#2#)"
v_recyclomancy,Voucher,回收魔法,"每回合
弃牌次数
永久{C:blue}+#1#{}",Recyclomancy,"Permanently
gain {C:red}+#1#{} discard
each round","弃掉总共
{C:attention}#1#{}张卡牌
{C:inactive}(#2#)","Discard a total
of {C:attention}#1#{} cards
{C:inactive}(#2#)"
v_reroll_glut,Voucher,重掷加強版,"重掷费用
减少{C:money}$#1#{}",Reroll Glut,"Rerolls cost
{C:money}$#1#{} less","重掷商店
总共{C:attention}#1#{}次
{C:inactive}(#2#)","Reroll the shop a
total of {C:attention}#1#{} times
{C:inactive}(#2#)"
v_reroll_surplus,Voucher,多次重掷,"重掷费用
减少{C:money}$#1#{}",Reroll Surplus,"Rerolls cost
{C:money}$#1#{} less",,
v_retcon,Voucher,重构,"重掷Boss盲注
{C:attention}不限{}次数
每次重掷花费{C:money}$#1#{}",Retcon,"Reroll Boss Blind
{C:attention}unlimited{} times,
{C:money}$#1#{} per roll","发现
{C:attention}#1#{}盲注","Discover
{C:attention}#1#{} Blinds"
v_seed_money,Voucher,种子基金,"每回合
可获得利息的上限
提高到{C:money}$#1#{}",Seed Money,"Raise the cap on
interest earned in
each round to {C:money}$#1#{}",,
v_tarot_merchant,Voucher,塔罗牌商人,"商店内
{C:tarot}塔罗牌{}
出现频率{C:attention}X#1#{}",Tarot Merchant,"{C:tarot}Tarot{} cards appear
{C:attention}#1#X{} more frequently
in the shop",,
v_tarot_tycoon,Voucher,塔罗大亨,"商店内
{C:tarot}塔罗牌{}
出现频率{C:attention}X#1#{}",Tarot Tycoon,"{C:tarot}Tarot{} cards appear
{C:attention}#1#X{} more frequently
in the shop","在商店
购买总计
{C:attention}#1#张{C:tarot}塔罗牌{}
{C:inactive}(#2#)","Buy a total of
{C:attention}#1#{C:tarot} Tarot{} cards
from the shop
{C:inactive}(#2#)"
v_telescope,Voucher,望远镜,"{C:attention}天体包中的
{C:planet}星球牌{}{}始终有
你最常用的
的{C:attention}牌型",Telescope,"{C:attention}Celestial Packs{} always
contain the {C:planet}Planet{}
card for your most
played {C:attention}poker hand",,
v_wasteful,Voucher,常弃常新,"每回合
弃牌次数
永久{C:blue}+#1#{}",Wasteful,"Permanently
gain {C:red}+#1#{} discard
each round",,
